species,L,B,D_L4,n
Black-capped Chickadee,15.0,12.0,7.0,1.11
Canada Goose,83.87,56.6,48.6,1.0
Carolina Parakeet,34.23,27.8,17.0,1.1
Common Loon,89.0,56.0,33.9,1.37
Cooper's Hawk,47.5,37.5,21.5,1.01
Coturnix Quail,35.0,27.0,15.0,1.6
Domestic Chicken,58.0,40.0,25.0,2.0
Domestic Duck,65.0,44.0,35.6,1.4
Elephant Bird,340.0,245.0,177.9,1.25
Great Auk,124.0,76.0,76.0,3.7
Great Horned Owl,65.0,46.0,35.1,0.65
Great Tinamou,58.0,48.0,25.0,0.2
Ostrich,150.0,130.0,75.0,0.6
Rhea,130.0,90.0,51.0,0.87
Ruby-throated Hummingbird,13.0,8.5,9.0,1.0
Sharp-shinned Hawk,37.5,30.0,18.9,0.99
Snow Bunting,22.9,16.5,12.0,1.25
